chunk_id,header,text,char_length,word_count,token_count,has_header,section_index,source_file,processed_date,section_depth
1,,- - - - -,9,5,7,False,0,chile_1997_NationalDefenseBook.md,2025-01-21 13:18:13,0
2,proyecto libro de la defensa nacional * * direccion ejecutiva : * * * * subsecretario de guerra : * * jorge burgos varela mario fernandez baeza * * secretaria ejecutiva * * * * coordinadores : * * contraalmirante miguel vergara villalobos gonzalo garcia pino * * equipo : * * rodrigo atria benapres cn miguel ahumada cespedes * * secretaria : * * carmen conejeros sanchez jimena sepulveda arias personal del estado mayor,# proyecto libro de la defensa nacional * * direccion ejecutiva : * * * * subsecretario de guerra : * * jorge burgos varela mario fernandez baeza * * secretaria ejecutiva * * * * coordinadores : * * contraalmirante miguel vergara villalobos gonzalo garcia pino * * equipo : * * rodrigo atria benapres cn miguel ahumada cespedes * * secretaria : * * carmen conejeros sanchez jimena sepulveda arias personal del estado mayor,422,76,130,True,1,chile_1997_NationalDefenseBook.md,2025-01-21 13:18:13,1
3,,"de la defensa nacional ( emdn ) * * participantes regulares : * * * * _ ministerio de defensa : _ * * subsecretario de guerra jorge burgos varela, subsecretario de marina pablo cabrera gaete, subsecretario de aviacion angel flisrisch fernandez * * _ ejercito de chile : _ * * bgl. carlos molina johnson, brig. juan carlos salgado brocal, brig. luis ceron acevedo, crl. jaime garcia covarrubias * * _ armada de",409,74,130,False,1,chile_1997_NationalDefenseBook.md,2025-01-21 13:18:13,0
4,,"chile : _ * * clmte. alex waghorn jarpa, cn cristian de bonnafos gandara, comodoro eduardo garcia dominguez, cf eduardo troncoso uwin * * _ fuerza aerea de chile : _ * * gral. ( a ) patricio rios ponce, crl. ( a ) ricardo ortera perrier, crl. ( a ) rodolfo neira neira, crl. ( a ) osvaldo sarabia vilches * * _ emdn : _ * * - - - - - clmte",339,75,130,False,1,chile_1997_NationalDefenseBook.md,2025-01-21 13:18:13,0
5,,". miguel vergara villalobos, cn ruben scheihing navarro, crl. armin lopez pelaez, crl. ( a ) roberto valdebenito bugmann * * _ comite asesor del sr. mdn : _ * * gonzalo garcia pino, rodrigo atria benapres, eugenio cruz pinochet, tte. crl. ( r ) mario polloni contardo, francisco belmar gonzalez, enrique savagnac perez * * _ ministerio de relaciones exteriores : _ * * juan martabitt scaff, ricardo",398,69,130,False,1,chile_1997_NationalDefenseBook.md,2025-01-21 13:18:13,0
6,,"de la barrera werner, patricio eberhard burgos, camilo sanhueza bezanilla * * _ ministerio de hacienda : _ * * alvaro clarke de la cerda * * _ ministerio del interior : _ * * gustavo villalobos sepulveda * * _ comision de defensa del h. senado de la republica : _ * * arturo frei bolivar, jaime gazmuri mujica, julio lagos cosgrove, francisco prat alemparte, mgl. ( r ) santiago sinclair oyanader * * _ comision de defens",421,79,130,False,1,chile_1997_NationalDefenseBook.md,2025-01-21 13:18:13,0
7,,"##a de la h. camara de diputados : _ * * ignacio walker prieto, vicente sota barros, jorge ulloa aguillon, luis v. ferrada valenzuela, vicente karelovic vrandecic, baldo prokurica prokurica, raul urrutia avila, salvador urrutia cardenas, jose antonio viera - gallo quesney * * _ academia nacional de estudios politicos y estrategicos : _ * * mgl. ( r ) alejandro medina lois, mgl. ( r ) enrique valdes puga ; _",410,72,132,False,1,chile_1997_NationalDefenseBook.md,2025-01-21 13:18:13,2
8,,academia diplomatica de chile : gabriel gaspar tapia _ * * _ centro de estudios estrategicos de la armada : _ * * vlmte ( r ) alfredo gallegos villalobos ; * * _ centro de estudios aeronauticos y del espacio : _ * * gral. ( a ) ( r ) leopoldo porras zuniga * * _ centro de estudios del desarrollo : _ * * patricio silva echenique * * _ corporacion de estudios estrategicos : _ * * claudio troncos,396,83,130,False,1,chile_1997_NationalDefenseBook.md,2025-01-21 13:18:13,0
9,,##o reppetto * * _ corporacion tiempo 2000 : _ * * - - - - - santiago escobar sepulveda * * _ facultad latinoamericana de ciencias sociales : _ * * claudio fuentes saavedra * * _ instituto de ciencias politicas de la universidad de chile : _ * * guillermo holzmann perez * * _ instituto de estudios internacionales de la u. de chile : _ * * boris yopo herrera * * _ instituto de ciencias politicas de la pontificia universidad _ * * * * _ cat,442,91,132,False,1,chile_1997_NationalDefenseBook.md,2025-01-21 13:18:13,2
10,,"##olica de chile : _ * * roberto duran sepulveda * * _ instituto libertad : _ * * pedro daza valenzuela * * _ instituto libertad y desarrollo : _ * * german concha zabala * * especialistas invitados : * * ministro de economia, alvaro garcia hurtado ; subsecretario de relaciones exteriores, mariano fernandez amunategui ; emdn : crl. ( e ) abelardo caezas flores, rosa maria evans miranda ; direccion general de moviliza",420,76,132,False,1,chile_1997_NationalDefenseBook.md,2025-01-21 13:18:13,2
