"","country","year","doc_text","doc_type","doc_number","doc_name"
"1","Australia",1976,"  8. Vietnam has been unified under the Government of the Socialist Republic of **CHAPTER 2** Vietnam. Communist Governments have likewise been established in Laos and Kam- puchea. Tentative steps have been taken towards the establishment of relationshipswith the ASEAN Governments, but, given the basic political differences, many uncer- **PROSPECTS AND** tainties persist about future developments. **PERSPECTIVES**  9. The United States has now disengaged militarily from the mainland of South East Asia. There must be large questions about the circumstances that could move the US Administration and Congress to agree to become militarily involved there again, particularly with ground forces.  **RELATIONS BETWEEN [THE SUPER POWERS]**  10. With the withdrawal of the colonial powers, a new political situation is The global powers of the modem era, the US and the USSR, maintain strategic nu- developing in the South West Pacific. Most of the new states are small and with only clear forces at a level of destructive capability unprecedented in history. Their rela- limited resources. tions directly affect the security of all nations. Military conflict between them would  risk widespread devastation by nuclear weapons.  11. A most significant event has been the massive build-up undertaken by the USSR in both its nuclear and conventional armaments. The USSR has achieved 2. The threat of mutual destruction has led the two Super Powers to seek ways of essential nuclear strategic equivalence with the US and competes with the US as a relaxing tension and avoiding military conflict. They have a variety of arrangements global power. for monitoring and controlling strategic capabilities, such as the Strategic Arms Limi-  tation Talks, and they show understanding of the need to avoid confrontations that  12. Allowance must be made for the USSR's perceptions of its requirements for  could face them with a critical choice between military conflict or strategic concession.  defence. Nevertheless, the size of the Soviet military build-up and the scale of stra-  The two powers and their allies have also increased their political contacts and econ-  tegic weapons still leave questions about Soviet motivation unanswered. The USSR  omic and technological exchanges.  demonstrated in Angola both motivation and capability to project military power into a distant region. 3. Given the enormous risks from military conflict, on all rational calculations the  restraints on use of force between the two powers, and the framework of their co-  13. The changes mentioned above, and others to be mentioned later in this Paper,  operation should endure.  constitute a fundamental transformation of the strategic circumstances that governed Australia's security throughout most of its history, and even throughout the post-war  4. All nations' interests, including Australia's, are served by relations between the  decades. Australia is now in a new strategic situation, and one that is still evolving,  US and the USSR which offer mutual advantage and in which neither exploits the  globally and regionally.  other's difficulties. This relationship does not express a fundamental resolution of their political opposition, or dismantling of their strategic competition. While leagued  14. Change does not necessarily mean insecurity. Despite the major changes in  in efforts to reduce tensions and risk, the two Super Powers remain adversaries. If  Australia's circumstances in the last thirty years, we have been free from threat of  their co-operation in avoidance of conflict can be expected to endure, so also can pol-  military attack since the end of World War II. Use of military force is not a course  itical and strategic competition.  adopted lightly by one nation against another. Military action must appear to offer worthwhile rewards; there must be substantial political hostility or ambition for  5. The three key areas of strategic significance are the nuclear relationship, and  conquest or adventurism to induce one nation to organise and sustain military attack  the theatres of Central Europe and North East Asia. In these theatres there are mass-  upon the sovereignty and independence of another; and there would need to be ap-  ive concentrations of population, industry and military might. Rival polities confront  parently favourable strategic circumstances. The conjunction of such conditions is  one another. Weakness of either the US or the USSR in these theatres, or in the nu-  infrequent among the nations of the world and takes time to develop.  clear relationship, would risk its basic national interests, and its status as a global  15. As a not insubstantial local power, Australia is able to influence develop- power. ments. Remote from Europe, we now have one significant alliance—the ANZUS Treaty, with New Zealand and the US. Both countries are important to us; but it is Imbalances in the Key Areas prudent to remind ourselves that the US has many diverse interests and obligations. 6. Continuing large scale Soviet military development is a cause for concern. If it Australia has local and regional associates with whom we enjoy close and co- cannot be slowed down or stabilised it must be countered, lest imbalances grow in operative relations. We must continue to work constructively with them to support important areas of the strategic relationship between the two Super Powers, particu- stability and security in the general strategic situation; and by our own policy and larly in the relative military strengths of the NATO and Warsaw Pact in the Central effort we can insure against the uncertainties that continuing change will sustain and European theatre. that could produce situations with which we may well have to deal on our own.  7. The current US Defence Administration, with strong Congressional support,  16. The following Chapter summarily reviews our contemporary strategic situ- and the NATO countries, are developing defence programs to prevent these potential ation and future prospects preparatory to discussion of the implications for imbalances. Given the political will, these powers possess the economic, technological Australia's defence posture and capability. and general military capacity to compete effectively with the USSR   ","page",7,"australia_1976_DefenceWhitePaper"
"2","us",1982,"The Role Of Allies And Others  Given the loss of U.S. strategic superiority and the overwhelming growth of Soviet conventional forces capabilities, together with the increased political and economic strength of the industrial democracies and the heightened importance of Third World resources, the United States must increasingly draw upon the resources and cooperation of allies and others to protect our interests and those of our friends. There is no other alternative.  To meet successfully the challenges to our interests, the U.S. will require stronger and more effective collective defense arrangements.  U.S.  defense programs will consider the status of these arrangements in the planning process.  A strong unified NATO remains indispensable to protecting Western interests.  While encouraging all our NATO Allies to maintain and increase their contributions in Europe, we should specifically encourage those Allies who can contribute outside Europe to allocate their marginal defense resources preferentially to capabilities which could support both out of area and European missions.  Outside Europe, the United States will place primary reliance on regional states to deal militarily with non-Soviet threats, providing security assistance as appropriate.  If no other reasonable alternative exists, the U.S. should be prepared to intervene militarily in regional or local conflicts. In Southwest Asia, we will support the development of balanced and self-contained TOP SECRET    ER TS0269 82    TOP SECRET friendly regional forces and will emphasize assistance to certain key states for regional contingency roles.  However, the U.S. will remain the primary military power for directly resisting the Soviet Union.  In East Asia, the Japanese should be encouraged to contribute more to their own and mutual defense efforts.  We should also assist the Republic of Korea in becoming increasingly self-sufficient in its own defense capabilities.  #","section",11,"us_1982_NationalSecurityStrategy"
"3","Poland",1992,"  **Prezydent**  **Rzeczpospolitej Polskiej**  ## Założenia  polskiej polityki bezpieczeństwa   ### 1. Założenia podstawowe  Współczesna treść pojęcia bezpieczeństwa państwa obejmuje zarówno kwestie  polityczne i militarne, jak i aspekty gospodarcze, ekologiczne, społeczne i etniczne. W każdej z tych dziedzin polska polityka bezpieczeństwa jest zgodna z prawem międzynarodowym, w szczególności z prawem Organizacji Narodów Zjednoczonych, z postanowieniami i decyzjami Konferencji Bezpieczeństwa i Współpracy w Europie oraz dwustronnymi i wielostronnymi umowami, których Polska jest stroną.  Rzeczpospolita Polska traktuje jako nienaruszalne swe granice i nie ma żadnych  roszczeń terytorialnych wobec swych sąsiadów. Szanuje suwerenność innych państw i wyrzeka się użycia siły, łącznie z grożeniem siłą, w bilateralnych stosunkach z innymi państwami. Polska pragnie szczególnie ściśle współpracować z państwami sąsiedzkimi.  ### 2. Integracja z Europą Zachodnią  Przyszłe członkostwo Polski we Wspólnotach Europejskich ma podstawowe  znaczenie dla naszego kraju. Integracji gospodarczej z Zachodem przyświecają także motywy i cele polityczne. Stowarzyszenie traktujemy jako etap w dążeniu do osiągnięcia w możliwie krótkim czasie pełnego członkostwa we Wspólnotach Europejskich, względnie - w przyszłej Unii Europejskiej, która powstanie zamiast Wspólnot. Jest to trudne zadanie wymagające wprowadzenia wielu zmian dostosowawczych oraz konsekwentnego współdziałania całego społeczeństwa.  Możemy przezwyciężyć nasze zapóźnienie cywilizacyjne i stać się równorzędnym  partnerem państw rozwiniętych tylko przez szybkie i skuteczne włączenie Polski do procesu gospodarczej i politycznej integracji zachodnioeuropejskiej. Dobrowolna izolacja  i niewykorzystanie szansy szybkiego rozwoju doprowadziłyby z czasem nieuchronnie do marginalizacji polskiej gospodarki i ubożenia społeczeństwa, a to groziłoby utratą wolności i suwerenności. Związki ze Wspólnotami Europejskimi ułatwią, a członkostwo w nich przesądzi o naszym udziale w Sojuszu Północnoatlantyckim (NATO), gdyby nie doszło do niego wcześniej.   ","page",4,"poland_1992_SecurityStrategia_noneng"
"4","Taiwan",1992,"Part Four  Status Of Defense And Combat Readiness  Table 4-1 Table 4-2 Organization  of  ROC  Military  Units  in Charge of Monitoring Territorial Sea & Air  / 173 Statistics of ROC Fishery-Protection Forces (July 1, 1990 -June 30, 1991)  / 202  - 12 - 11 - 1   and the comments PART ONE MILITARY SITUATION  11 - 1 - 1 - 1 - 1 -      - :  - 1  - the consideration  - - - - - - : With the U.S.–Soviet detente and the end of the Cold War era, the bipolar confrontation shaped after the Second World War has thus broken down and a new model of organic competition of regional economic cooperation has been developed. Owing to the collapse of the Soviet Union, the United States now dominates the new international order.  1.  In the Middle East, the goal of peacefully settling the Arab-Israeli long-term territorial dispute has not been reached, and unpredictable variables still exist.  2.  In Europe, ideological barriers have weakened in the wake of German unification and the breaking up of the Warsaw Pact; hence the large-scale war is unlikely in the foreseeable future. Owing to the rise of nationalism, however, regional conflicts may possibly occur. In Western Europe, NATO is bound to play an even more important defense role.  3.  The military situation in our neighboring areas hasn't yet been affected too much by the tide of detente. To cope with the reduction in influence of both the U.S. and Russia, countries in the region are competitively developing their own defense; and Japan, with its superior national strength, seems the most ambitious in this respect.Gene4.  (1)  l  rally speaking, the Chinese Communists and North Korea are the real source of instability in this region.  5.  With a total strength of some 4.7-million soldiers, the Chinese Communists' armed forces are actively pushing forward their military modernization.  ","section",21,"taiwan_1992_NationalDefenseReport"
"5","Canada",1994,"  � maintain a national search and rescue capability; � maintain a capability to assist in mounting, at all times, an immediate and effective response to terrorist incidents; and, � respond to requests for Aid of the Civil Power and sustain this response for as long as necessary.  **Chapter 5 - Canada-United States Defence Cooperation**  30. The United States is Canada's most important ally and the two countries maintain a relationship that is as close, complex, and extensive as any in the world.  31. As strategic arms reduction treaties between the United States and Russia are implemented over the next decade, stability will be enhanced. Nevertheless, potential challenges to continental defence remain: Russia retains strategic nuclear forces able to reach North America and a number of states have acquired, or are seeking to acquire, weapons of mass destruction and their means of delivery.  32. Canada-US defence cooperation continues to provide highly valued stability in a volatile and turbulent world. Though CanadaUS defence cooperation continues to serve this country's fundamental interests extremely well, certain arrangements require updating:  � Canada will contribute to aerospace surveillance, missile warning, and air defence capabilities at a significantly reduced level. � In the negotiations on the renewal of the NORAD agreement, Canada will seek to preserve its benefits and examine closely those areas which may need to change in accord with evolving challenges to continental security. � Canada supports ongoing discussions on the possible expansion beyond North America of NORAD's missile warning function, and is interested in gaining a better understanding of missile defence through research and in consultation with like-minded nations. � The possibility of developing a space-based surveillance system for North America in the next century will be explored, subject to a variety of military, financial and technological considerations.  33. Canada will continue to rely on the stability and flexibility of its relationship with the United States to help meet defence requirements in North America and beyond. To that end, the Department and the Forces will:  � maintain the ability to operate effectively at sea, on land, and in the air with the military forces of the United States in defending the northern half of the Western hemisphere. This includes plans for the provision of forces already tasked for other missions to the defence of the continent, consisting of: � a joint task force headquarters; � a maritime task group on each coast; � a brigade group with associated support elements; � two squadrons of fighter aircraft; and � a squadron of transport aircraft. � begin formal negotiations with the United States on the renewal of the NORAD agreement that expires in 1996, ensuring that its provisions reflect North American aerospace defence priorities; � as part of a renewed NORAD agreement, cooperate in: � the surveillance and control of North American airspace; � the collection, processing and dissemination of missile warning information within North America; and � the examination of ballistic missile defence options focused on research and building on Canada's existing capabilities in communications and surveillance; and � maintain Canada's participation in the Canada-US Test and Evaluation Program, the Defence Production and Development Sharing Arrangements, and other existing bilateral arrangements.  **Chapter 6 - Contributing to International Security**  34. The complex problems that confront the international community today defy easy solutions. Nevertheless, Canada will remain a strong advocate of multilateral security institutions. We will continue to play an active role in the UN, in NATO and in the CSCE, and we will develop our defence relationships with other countries, especially in the Asia-Pacific region and Latin America.  **A Canadian Perspective on Multilateral Operations**  35. In recent years, multilateral operations have expanded to encompass the complete range of military activity – from preventive deployments to enforcement actions.   ","page",4,"canada_1994_WhitePaperonDefence"
"6","Germany",1994,"Des Bundeskanzli  sowie beim Aufbau einer leistungs- und wettbewerbsfähigen Marktwirtschaft zu unterstützen. Hierzu gehört für diese Länder die Aussicht, auf ihrem Weg in die Zukunft an die bestehenden westlichen Gemeinschaften herangeführt zu werden.  Die Bundeswehr bleibt sichtbarer Ausdruck der Souveränität unseres Landes und der Bereitschaft unserer Demokratie, sich ihrer Feinde zu erwehren. Unser Land braucht auch in Zukunft Streitkräfte, die den neuen Anforderungen gerecht werden und dementsprechend ausgerüstet sind. Die Allgemeine Wehrpflicht ist und bleibt dabei Ausdruck der persönlichen Mitverantwortung des Bürgers für ein Leben in Frieden und Freiheit.  Die Bundeswehr verdient unsere besondere Anerkennung für das in den letzten Jahren Geleistete. Der Aufbau der Bundeswehr im Osten Deutschlands ist ein großartiger Beitrag zur Vollendung der inneren Einheit unseres Vaterlandes. Bei internationalen Friedenseinsätzen haben unsere Soldaten durch vorbildliche Haltung, persönlichen Einsatz und ihr Können zum Ansehen Deutschlands in der Welt beigetragen.  Ich danke den Soldaten und zivilen Mitarbeitern der Bundeswehr für treue Pflichterfüllung im Dienste unseres Vaterlandes und schließe ihre Familien darin ein.  Bonn, den 5. April 1994   Das Weißbuch der Bundesregierung zur Sicherheits- und Verteidigungs-    politik und zur Entwicklung der Bundeswehr ist Bilanz und Programm.  Auf der Grundlage einer Lageanalyse wird die sicherheitspolitische Konzeption der Bundesregierung vorgestellt und der Weg der Streitkräfte in die Zukunft beschrieben. Das ist ein längerer Prozeß, der aus zwei Phasen besteht.  In der ersten Phase nach der Vereinigung Deutschlands kam es für die Bundeswehr darauf an, die Nationale Volksarmee aufzulösen, die Bundeswehr im Osten Deutschlands aufzubauen, die gesamtdeutschen Streitkräfte um etwa ein Drittel zu reduzieren, sie teilweise neu zu stationieren und gleichzeitig auf neue Aufgaben auszurichten. Mit der Rückführung der Streitkräfte auf die vertraglich vereinbarte Obergrenze von 370.000 Soldaten in diesem Jahr wird diese Phase weitgehend abgeschlossen.  In der zweiten Phase kommt es darauf an, unter Berücksichtigung der sicherheitspolitischen Lage, unserer gewachsenen internationalen Verantwortung und des sich daraus ergebenden Auftrags die Bundeswehr auf die Herausforderungen der Zukunft auszurichten. Wir müssen die Streitkräfte, die Deutschland schließlich haben und behalten will, in ihren Fähigkeiten und Zielstrukturen im einzelnen definieren. Die Bundeswehr muß trotz begrenzter Ressourcen ihren künftigen Aufgaben gerecht werden. Dann bleibt sie ein berechenbarer Faktor europäischer Stabilität und internationaler Kooperation.  Die deutschen Streitkräfte bleiben eingebettet in die militärische Integration der Nordatlantischen Allianz, die umfassend reformiert wird und damit Grundlage für Sicherheit und Stabilität in Europa bleibt. Das klare Signal, für neue Mitglieder offen zu sein, ist ein wichtiger Beitrag der NATO zur Stabilisierung des östlichen Europa. Integration und Kooperation sind die tragenden Elemente eines vernünftigen Gesamtkonzeptes für die europäische Stabilität.  Gemeinsam mit französischen und anderen europäischen Streitkräften ist die Bundeswehr treibende Kraft beim Aufbau einer europäischen Verteidigung. Ich danke meinem Kollegen François Léotard für die enge Abstimmung bei der Formulierung des französischen und deutschen Weißbuches. Wir unterstreichen damit unser Streben, die europäische Sicherheits- und Verteidigungspolitik gemeinsam voranzubringen.  Die Bundeswehr hat in der Zeit des Umbruchs Großartiges geleistet. Sie bewährt sich mit Erfolg in internationalen Friedenseinsätzen. In Kambodscha, im Irak, im ehemaligen Jugoslawien und in Somalia hat sie sich großes Ansehen erworben. Sie kann aber auch stolz auf ihre Leistungen im Einigungsprozeß sein. Als Armee der Einheit ist sie zum Vorbild beim Zusammenwachsen unseres Vaterlandes geworden. Ich freue mich darüber, wie sehr unsere Soldaten wegen ihrer Leistungen draußen und im Lande gewürdigt werden.  Ich danke allen Soldaten und zivilen Mitarbeitern für ihren hohen persönlichen Einsatz zum Wohle unserer Bundeswehr. Ohne ihr Engagement wäre dieser Erfolg nicht möglich gewesen. Auf ihrem Weg in die Zukunft braucht die Bundeswehr die Unterstützung aller politischen Kräfte in unserem Lande.  Bonn, den 5. April 1994   Bundesminister der Verteidigung KAPITEL I  ","section",5,"germany_1994_WhitePaper"
"7","Latvia",1995,"  -  to ensure the inviolability of the land territory of Latvia;  -  to ensure the inviolability of the Latvian sea area and airspace;  -  carry out surveillance in cooperation with civilian authorities and friendly countries;  -  to establish the intentional borders, territories, sea waters and airspace of Latvia  harassment and respond to it.  M3:  To support the civilian authorities in overcoming the crisis in accordance with the procedures prescribed by law:  -  to prevent the violent overthrow of the legitimate government and the provisions of the Satversme  change of state equipment;  -  be ready to use the NAF as a crisis management tool;  -  to acquire skills in limiting incidents;  -  help prevent the situation from deteriorating;  -  respond to requests for assistance in the fight against terrorism.  M4:  To support Latvia's wider security interests by participating in international activities:  -  Participate in UN peacekeeping and humanitarian operations  or within the OSCE;  -  to support international security together with the other Baltic States  with the help of BALTBAT;  -  maximum participation in NATO's Partnership for Peace program.  M5:  To undertake other tasks in the interests of the Government of Latvia and the population:  -  Participate in civil protection measures, natural disasters and major  elimination of the consequences of technological accidents;  -  carry out search and rescue operations using naval and air force units;  -  to perform transport tasks of the NAF and the government;  -  carry out environmental monitoring and protection together with civil authorities;  -  provide staff with honors and other ceremonies.   ","page",4,"latvia_1995_DefenseConcept"
"8","Czech Republic",1997,"2. Interests And Policy Of The Czech Republic In The Area Of Defence  The Czech Republic is interested in a peaceful and free-of-conflict development in Europe and in the world. Such development will strengthen the stability in Europe and will contribute to the development of democratic institutions and economical prosperity of the whole region.  The Czech Republic strives for the maintenance and strengthening of international peace and stability.  In its effort it follows the principles of the Charter of the United Nations and fulfils the obligations following from the international agreements to which it has committed itself. But in case of need it is ready to defend its interests and security in compliance with Article 51 of the UN Charter which words the right of collective and individual self-defence.  An important means for increasing the Czech Republic defenceability is the achievement of full membership in the North Atlantic Treaty Organisation (NATO) including its integrated structures. Therefore, the Czech Republic will continue its effort to come closer to the NATO member countries in both political and military areas. It understands the membership in NATO as an expression of joint responsibility for the protection and development of democratic values as well as political and economical stability. The Czech Republic will continue at the co-operation with NATO within Partnership for Peace and at the preparation of joint activities directed to both the prevention of conflicts and maintenance of peace in Europe and in the world. In this connection, it attaches great significance also to the co-operation namely with neighbouring states as well as with all the democratic countries.  The Czech Republic will continue taking active part in the international organisations in which the questions of security character are being solved. It considers very important further co-operation with West European Union. The Czech Republic expects that after becoming a member of the WEU it will take part in formulating and implementation of joint foreign and security policy.  A concrete expression of the effort of the Czech Republic for the maintenance of international peace and stability in the world and namely in Europe is its taking part in the peacekceping, observation and other missions of UN, NATO and OSCE.  #","section",4,"czechrepublic_1997_NationalDefenceStrategy"
"9","Greece",1997,"  complemented by the appearance of a series of new risks and challenges in the Mediterranean and the Middle East.  [(see map 1)](http://www.resdal.org.ar/Archivo/gre-cap1-2_1.htm)  [(see map 2)](http://www.resdal.org.ar/Archivo/gre-cap1-2_2.htm)  The time has come for a world of stability and cooperation, for a common security system embracing all Europe, from the Atlantic Ocean to the Urals. Approaching the threshold of the 21st century, we need to redefine the relations and cooperation structures of the European countries in regard to security matters, in order to successfully address issues concerning:  o the internal adaptation of NATO (new command structure)  o the external adaptation of the Alliance  o the evolving relationship with Russia, Ukraine and the other countries of the Partnership for Peace (PfP) Programme  o the Western European Unions (WEU) role  o the Organisation for Security and Cooperation in Europe (OSCE) new role.  Today, the most important developments in security matters in Europe are based on the fact that NATO changes, adapts to the new situation, adopts a new strategy, reorganises its command system and changes the structure of forces within the Alliance, creating multinational rapid reaction forces in order to improve its collective defence capability and its participation in crises management.  NATO, confronting the challenges of the new post-cold war international system, is moving forward with radical restructuring of its strategic goals, structures and operation. It aims to transform from a collective defence (military) organisation to a political, diplomatic and, at the same time, military organisation, mainly concerned with peace keeping in a wide geographic area, beyond the traditional region of responsibility of the Alliance. NATO generally promotes stability in Europe through the Euro Atlantic Partnership Council (EAPC) and the Partnership for Peace Programme (PfP).  Greece believes that the new Atlantic Treaty with its multiple capabilities and roles, aiming at gradually including all countries of Central and Eastern Europe, will constitute the guarantor for peace in the Balkans as well as in Europe, being the only reliable politico-military organization, able to fill the ""security vacuum"" created in the area by the collapse of the bipolar system. Based on this perspective, our country participates actively in all the procedures regarding NATO's transformation, the keystones being the development of a European Security and Defence Identity (ESDI), the establishment of an organisational structure for the implementation of the ""Combined Joint Task Force"" (CJTF) concept, the establishment of new headquarters and regional commands, as well as the promotion of PfP Programmes and the regional cooperation in the context of the EAPC, in a way that the existing regional balances are not upset by the structural reorganisation of the Alliance. Our country, persuaded that NATO's evolution serves security and peace in its wider area, aspires to become a ""bridge"" for the Southeast European countries, aiming at their smooth integration into the defensive system of the Alliance.  The new strategic goals of the North-Atlantic Treaty, concerning both its external and internal adaptation, were included in the Declaration of Madrid, that was adopted at the Summit   ","page",2,"greece_1997_White_Paper"
"10","czechia",1997,"  from the international agreements to which it has committed itself But in case of need it is ready to defend its interests and security in compliance with Article 51 of the UN Charter which words the right of collective and individual self-defence. An important means for increasing the Czech Republic defenceability is the achievement of full membership in the North Atlantic Treaty Organisation (NATO) including its integrated structures. Therefore, the Czech Republic will continue its effort to come closer to the NATO member countries in both political and military areas. It understands the membership in NATO as an expression of joint responsibility for the protection and development of democratic values as well as political and economical stability. The Czech Republic will continue at the co-operation with NATO within Partnership for Peace and at the preparation of joint activities directed to both the prevention of conflicts and maintenance of peace in Europe and in the world. In this connection, it attaches great significance also to the co-operation namely with neighbouring states as well as with all the democratic countries. The Czech Republic will continue taking active part in the international organisations in which the questions of security character are being solved. It considers very important further co-operation with West European Union. The Czech Republic expects that after becoming a member of the WEU it will take part in formulating and implementation of joint foreign and security policy. A concrete expression of the effort of the Czech Republic for the maintenance of international peace and stability in the world and namely in Europe is its taking part in the peacekeeping, observation and other missions ofUN, NATO and OSCE.  **III. PRINCIPLES AND MAIN MISSIONS IN THE AREA OF DEFENCE**  **1. Strategic Principles of Defence** When asserting its security interests the Czech Republic prefers political means of solution and prevention of threatening conflicts to their solutions by using force. Therefore, a primary objective of the defence strategy is to ensure reliable readiness of the state and its armed forces for defence together with simultaneous diplomatic effort to solve possible conflict by the use of international law and agreements of alliance. Defence of the state has its political, historical, economical, legal, military, internal security and generally human character with closely connected and mutually intertwined relations. In case of an armed conflict the defence of the state must be comprehensive and integrated and making use of corresponding population, material and financial resources. The comprehensive strategy of defence requires formation of a unified state security system which would directively determine and legislatively exactly assign the responsibility, duties and tasks of the state administration authorities, territorial self-government authorities, legal entities and natural persons in the state of emergency, threat to the state or in the state of war. An intention of defence is to discourage possible aggressor by the fact that his losses would be substantially higher than possible gained advantages. An objective of defence is to avert an armed conflict; in case of an attack, to repel aggression either by our own forces or using assistance of our allies. If the aggressor penetrates into our state territory, the task of the Army of the Czech Republic (ACR) will be to destroy its forces, to restore the state border and its inviolability and thus even territorial integrity of the Czech Republic. External security is ensured by the armed forces the readiness of which must, first of all, reliably prove political resolve of the state to self-defence and decision of citizens to defend unconditionally the state interests. Main tool for ensuring the defenceability of the state against outer threat is the ACR. Internal security and order are ensured by the Ministry of Interior. From the viewpoint of defence strategy, the main mission of the Ministry of Interior (Ml) is protection of the state border and elimination of the phenomena which could be a reason for breaking the internal security of the state, its destabilisation or even an armed conflict on its territory.  **2. Main Missions in the Area of State Defence** Duties of the state and self-government institutions, social and private organisations and subjects as well as legal entities and natural persons are solved in the whole extent of state defence problem by the   ","page",4,"czechia_1997_NationalDefenseStrategyoftheCzechRepublic"
